id,supl_iata,start,end,supplier,iata,value,currency,per_volume,supl_iata_1,value_per_usdc
154,AEG-STN,2020-01-05,2021-03-31,AEG,STN,0.7382,USD,gallion.USG.UGL,,73.82
155,AEG-SVQ,2020-10-04,2021-03-31,AEG,SVQ,1.4614,USD,gallion.USG.UGL,,146.14000000000001
156,AEG-SXB,2023-10-05,2024-03-31,AEG,SXB,3.984948,USD,gallion.USG.UGL,,398.4948
157,AEG-SXF,2020-01-04,2021-03-31,AEG,SXF,2.1038,USD,gallion.USG.UGL,,210.38000000000002
158,AEG-SZX,2020-01-05,2021-03-31,AEG,SZX,1.5801,USD,gallion.USG.UGL,,158.01000000000002
159,AEG-SZZ,2023-10-05,2023-10-05,AEG,SZZ,2.743813,USD,gallion.USG.UGL,,274.3813
160,AEG-TAT,2020-02-26,2021-03-31,AEG,TAT,5.429546,USD,gallion.USG.UGL,,542.9546
161,AEG-TBS,2021-03-24,2022-03-31,AEG,TBS,2.272192,USD,gallion.USG.UGL,,227.2192
162,AEG-TGM,2020-04-15,2020-04-15,AEG,TGM,2.3647,USD,gallion.USG.UGL,,236.47
163,AEG-TIA,2019-07-24,2020-03-31,AEG,TIA,3.65402,USD,gallion.USG.UGL,,365.402
164,AEG-TLV,2021-01-04,2022-03-31,AEG,TLV,1.68212,USD,gallion.USG.UGL,,168.21200000000002
165,AEG-TNG,2020-02-10,2021-03-31,AEG,TNG,1.536948,USD,gallion.USG.UGL,,153.6948
166,AEG-TOB,2020-10-18,2021-03-31,AEG,TOB,1.1741,USD,gallion.USG.UGL,,117.41
167,AEG-TSE,2020-09-04,2021-03-31,AEG,TSE,3.0506,USD,gallion.USG.UGL,,305.06
168,AEG-TSN,2020-09-04,2021-03-31,AEG,TSN,1.9728,USD,gallion.USG.UGL,,197.28
169,AEG-TSR,2020-04-17,2021-03-31,AEG,TSR,1.3329,USD,gallion.USG.UGL,,133.29
170,AEG-TUN,2020-01-10,2021-03-31,AEG,TUN,1.3162,USD,gallion.USG.UGL,,131.62
171,AEG-VKO,2023-03-28,2024-03-31,AEG,VKO,1437.3159,USD,mTon,,435.2657264639115
