id,supl_iata,start,end,platts,value,period,unnamed__6,unnamed__7
1,ARAB GULF FOB HIGH PRIORPM,2023-01-10,2024-03-31,ARAB GULF FOB HIGH PRIOR,269.43,PM,,
2,ARAB GULF FOB HIGH PRIOR1/2M,2023-09-16,2024-03-31,ARAB GULF FOB HIGH PRIOR,278.66,1/2M,,
3,ARAB GULF FOB HIGH PRIORPW,2023-05-09,2024-03-31,ARAB GULF FOB HIGH PRIOR,272.76,PW,,
4,EGPC1/2M,2021-03-13,2022-03-31,EGPC,182,1/2M,,
5,EGPCPW,2021-03-21,2022-03-31,EGPC,183,PW,,
6,FOB MED  USDC.UGL1/2M,2023-09-16,2024-03-31,FOB MED  USDC.UGL,288.63,1/2M,,
7,FOB MED  USDC.UGLPM,2023-01-10,2024-03-31,FOB MED  USDC.UGL,287.11,PM,,
8,FOB MED  USDC.UGLPW,2023-12-09,2024-03-31,FOB MED  USDC.UGL,284.19,PW,,
9,HNWE  USDC.UGL1/2M,2023-09-16,2024-03-31,HNWE  USDC.UGL,301.73,1/2M,,
10,HNWE  USDC.UGLPM,2023-01-10,2024-03-31,HNWE  USDC.UGL,296.07,PM,,
11,HNWE  USDC.UGLPW,2023-12-09,2024-03-31,HNWE  USDC.UGL,296.49,PW,,
12,HROTT  USDC.UGLPM,2023-01-10,2024-03-31,HROTT  USDC.UGL,295.38,PM,,
13,HROTT  USDC.UGLPW,2023-12-09,2024-03-31,HROTT  USDC.UGL,295.96,PW,,
14,ISRAELI GOVT USDC.USGPM,2022-01-04,2023-03-31,ISRAELI GOVT USDC.USG,274.37,PM,,
15,LukOIL FOB MED1/2M,2023-09-16,2024-03-31,LukOIL FOB MED,953.09,1/2M,,
16,MOPAGPM,2023-01-10,2024-03-31,MOPAG,269.43,PM,,
17,MOPAG1/2M,2023-09-16,2024-03-31,MOPAG,278.66,1/2M,,
18,MOPAGPW,2023-03-21,2024-03-31,MOPAG,236.43,PW,,
19,CIF MED USDC.UGL1/2M,2023-09-16,2024-03-31,CIF MED USDC.UGL,297.41,1/2M,,
20,MOPAG1/2M,2022-01-02,2022-02-16,MOPAG,232.27,1/2M,,
21,CIF MED USDC.UGL1/2M,2018-01-03,2018-03-15,CIF MED USDC.UGL,213.86,1/2M,,
22,EGPC1/2M,2018-01-03,2018-03-15,EGPC,289.23,1/2M,,
23,FOB MED  USDC.UGL1/2M,2018-01-03,2018-03-15,FOB MED  USDC.UGL,209.78,1/2M,,
24,HNWE  USDC.UGL1/2M,2018-01-03,2018-03-15,HNWE  USDC.UGL,214.25,1/2M,,
25,HNWE  USDC.UGL1/2M,2018-01-03,2018-03-15,HNWE  USDC.UGL,214.17,1/2M,,
26,HNWE  USDC.UGL1/2M,2018-01-03,2018-03-15,HNWE  USDC.UGL,197.99,1/2M,,
27,LukOIL FOB MED1/2M,2018-01-03,2018-03-15,LukOIL FOB MED,692.73,1/2M,,
28,ARAB GULF FOB HIGH PRIORPW,2018-03-21,2018-03-27,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
29,EGPCPW,2018-03-21,2018-03-27,EGPC,247,PW,,
30,FOB MED  USDC.UGLPW,2018-03-21,2018-03-27,FOB MED  USDC.UGL,203.07,PW,,
31,HNWE  USDC.UGLPW,2018-03-21,2018-03-27,HNWE  USDC.UGL,207.08,PW,,
32,HROTT  USDC.UGLPW,2018-03-21,2018-03-27,HROTT  USDC.UGL,205.87,PW,,
33,MOPAGPW,2018-03-21,2018-03-27,MOPAG,200.86,PW,,
34,ARAB GULF FOB HIGH PRIORPM,2018-01-04,2018-04-30,ARAB GULF FOB HIGH PRIOR,183.94,PM,,
35,FOB MED  USDC.UGLPM,2018-01-04,2018-04-30,FOB MED  USDC.UGL,189.5,PM,,
36,HNWE  USDC.UGLPM,2018-01-04,2018-04-30,HNWE  USDC.UGL,194.41,PM,,
37,HROTT  USDC.UGLPM,2018-01-04,2018-04-30,HROTT  USDC.UGL,195.04,PM,,
38,ISRAELI GOVT USDC.USGPM,2018-01-04,2018-04-30,ISRAELI GOVT USDC.USG,210.66,PM,,
39,ARAB GULF FOB HIGH PRIORPW,2018-03-04,2018-09-04,ARAB GULF FOB HIGH PRIOR,184.77,PW,,
40,FOB MED  USDC.UGLPW,2018-03-04,2018-09-04,FOB MED  USDC.UGL,196.5,PW,,
41,HNWE  USDC.UGLPW,2018-03-04,2018-09-04,HNWE  USDC.UGL,201.54,PW,,
42,HROTT  USDC.UGLPW,2018-03-04,2018-09-04,HROTT  USDC.UGL,201.1,PW,,
43,MOPAGPW,2018-03-04,2018-09-04,MOPAG,188.82,PW,,
44,ARAB GULF FOB HIGH PRIORPW,2018-10-04,2018-04-16,ARAB GULF FOB HIGH PRIOR,184.77,PW,,
45,FOB MED  USDC.UGLPW,2018-10-04,2018-04-16,FOB MED  USDC.UGL,195.37,PW,,
46,HNWE  USDC.UGLPW,2018-10-04,2018-04-16,HNWE  USDC.UGL,200.04,PW,,
47,HROTT  USDC.UGLPW,2018-10-04,2018-04-16,HROTT  USDC.UGL,198.66,PW,,
48,MOPAGPW,2018-10-04,2018-04-16,MOPAG,190.61,PW,,
49,ARAB GULF FOB HIGH PRIORPW,2018-04-17,2018-04-23,ARAB GULF FOB HIGH PRIOR,184.77,PW,,
50,FOB MED  USDC.UGLPW,2018-04-17,2018-04-23,FOB MED  USDC.UGL,204.05,PW,,
51,HNWE  USDC.UGLPW,2018-04-17,2018-04-23,HNWE  USDC.UGL,208.49,PW,,
52,HROTT  USDC.UGLPW,2018-04-17,2018-04-23,HROTT  USDC.UGL,207.29,PW,,
53,MOPAGPW,2018-04-17,2018-04-23,MOPAG,198.25,PW,,
54,ARAB GULF FOB HIGH PRIORPW,2018-04-24,2018-04-30,ARAB GULF FOB HIGH PRIOR,184.77,PW,,
55,FOB MED  USDC.UGLPW,2018-04-24,2018-04-30,FOB MED  USDC.UGL,207.35,PW,,
56,HNWE  USDC.UGLPW,2018-04-24,2018-04-30,HNWE  USDC.UGL,211.83,PW,,
57,HROTT  USDC.UGLPW,2018-04-24,2018-04-30,HROTT  USDC.UGL,209.85,PW,,
58,MOPAGPW,2018-04-24,2018-04-30,MOPAG,198.25,PW,,
59,ARAB GULF FOB HIGH PRIORPW,2018-01-05,2018-07-05,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
60,ARAB GULF FOB HIGH PRIORPM,2018-01-05,2018-05-31,ARAB GULF FOB HIGH PRIOR,198.77,PM,,
61,EGPCPW,2018-01-05,2018-07-05,EGPC,239,PW,,
62,FOB MED  USDC.UGLPW,2018-01-05,2018-07-05,FOB MED  USDC.UGL,211.47,PW,,
63,FOB MED  USDC.UGLPM,2018-01-05,2018-05-31,FOB MED  USDC.UGL,205.4,PM,,
64,HNWE  USDC.UGLPW,2018-01-05,2018-07-05,HNWE  USDC.UGL,216.13,PW,,
65,HNWE  USDC.UGLPM,2018-01-05,2018-05-31,HNWE  USDC.UGL,209.97,PM,,
66,HROTT  USDC.UGLPW,2018-01-05,2018-07-05,HROTT  USDC.UGL,214.13,PW,,
67,HROTT  USDC.UGLPM,2018-01-05,2018-05-31,HROTT  USDC.UGL,208.4,PM,,
68,ISRAELI GOVT USDC.USGPM,2018-01-05,2018-05-31,ISRAELI GOVT USDC.USG,225.85,PM,,
69,MOPAGPW,2018-01-05,2018-07-05,MOPAG,204.96,PW,,
70,MOPAGPM,2018-01-05,2018-05-31,MOPAG,198.82,PM,,
71,ARAB GULF FOB HIGH PRIORPW,2018-08-05,2018-05-14,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
72,EGPCPW,2018-08-05,2018-05-14,EGPC,245,PW,,
73,FOB MED  USDC.UGLPW,2018-08-05,2018-05-14,FOB MED  USDC.UGL,208.56,PW,,
74,HNWE  USDC.UGLPW,2018-08-05,2018-05-14,HNWE  USDC.UGL,213.21,PW,,
75,HROTT  USDC.UGLPW,2018-08-05,2018-05-14,HROTT  USDC.UGL,213.72,PW,,
76,MOPAGPW,2018-08-05,2018-05-14,MOPAG,202.59,PW,,
77,ARAB GULF FOB HIGH PRIORPW,2018-05-15,2018-05-21,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
78,EGPCPW,2018-05-15,2018-05-21,EGPC,245,PW,,
79,FOB MED  USDC.UGLPW,2018-05-15,2018-05-21,FOB MED  USDC.UGL,214.01,PW,,
80,HNWE  USDC.UGLPW,2018-05-15,2018-05-21,HNWE  USDC.UGL,218.63,PW,,
81,HROTT  USDC.UGLPW,2018-05-15,2018-05-21,HROTT  USDC.UGL,219.35,PW,,
82,MOPAGPW,2018-05-15,2018-05-21,MOPAG,208.24,PW,,
83,MOPAGPW,2018-05-15,2018-05-21,MOPAG,227.99,PW,,
84,CIF MED USDC.UGL1/2M,2018-05-16,2018-05-30,CIF MED USDC.UGL,216.74,1/2M,,
85,CIF MED USDC.UGL1/2M,2018-05-16,2018-05-31,CIF MED USDC.UGL,216.74,1/2M,,
86,EGPC1/2M,2018-05-16,2018-05-30,EGPC,289.23,1/2M,,
87,EGPC1/2M,2018-05-16,2018-05-31,EGPC,289.23,1/2M,,
88,FOB MED  USDC.UGL1/2M,2018-05-16,2018-05-31,FOB MED  USDC.UGL,212.3,1/2M,,
89,HNWE  USDC.UGL1/2M,2018-05-16,2018-05-30,HNWE  USDC.UGL,217.12,1/2M,,
90,HNWE  USDC.UGL1/2M,2018-05-16,2018-05-31,HNWE  USDC.UGL,217.12,1/2M,,
91,LukOIL FOB MED1/2M,2018-05-16,2018-05-30,LukOIL FOB MED,701.03,1/2M,,
92,LukOIL FOB MED1/2M,2018-05-16,2018-05-31,LukOIL FOB MED,701.03,1/2M,,
93,ARAB GULF FOB HIGH PRIORPW,2018-05-22,2018-05-28,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
94,EGPCPW,2018-05-22,2018-05-28,EGPC,251,PW,,
95,FOB MED  USDC.UGLPW,2018-05-22,2018-05-28,FOB MED  USDC.UGL,220.87,PW,,
96,HNWE  USDC.UGLPW,2018-05-22,2018-05-28,HNWE  USDC.UGL,225.52,PW,,
97,HROTT  USDC.UGLPW,2018-05-22,2018-05-28,HROTT  USDC.UGL,225.46,PW,,
98,MOPAGPW,2018-05-22,2018-05-28,MOPAG,212.98,PW,,
99,ARAB GULF FOB HIGH PRIORPW,2018-05-29,2018-04-06,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
100,EGPCPW,2018-05-29,2018-06-04,EGPC,251,PW,,
101,FOB MED  USDC.UGLPW,2018-05-29,2018-06-04,FOB MED  USDC.UGL,220.54,PW,,
102,HNWE  USDC.UGLPW,2018-05-29,2018-04-06,HNWE  USDC.UGL,225.14,PW,,
103,HROTT  USDC.UGLPW,2018-05-29,2018-06-04,HROTT  USDC.UGL,225.75,PW,,
104,MOPAGPW,2018-05-29,2018-06-04,MOPAG,215.21,PW,,
105,ARAB GULF FOB HIGH PRIORPW,2018-01-06,2018-06-07,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
106,ARAB GULF FOB HIGH PRIORPM,2018-01-06,2018-06-30,ARAB GULF FOB HIGH PRIOR,198.77,PM,,
107,CIF MED USDC.UGL1/2M,2018-01-06,2018-06-15,CIF MED USDC.UGL,223.68,1/2M,,
108,EGPCPW,2018-01-06,2018-07-06,EGPC,251,PW,,
109,EGPC1/2M,2018-01-06,2018-06-15,EGPC,295.23,1/2M,,
110,EGPC1/2M,2018-01-06,2018-06-15,EGPC,289.23,1/2M,,
111,FOB MED  USDC.UGLPW,2018-01-06,2018-07-06,FOB MED  USDC.UGL,220.54,PW,,
112,FOB MED  USDC.UGL1/2M,2018-01-06,2018-06-15,FOB MED  USDC.UGL,219.1,1/2M,,
113,FOB MED  USDC.UGLPM,2018-01-06,2018-06-30,FOB MED  USDC.UGL,216.21,PM,,
114,HNWE  USDC.UGLPW,2018-01-06,2018-07-06,HNWE  USDC.UGL,225.14,PW,,
115,HNWE  USDC.UGL1/2M,2018-01-06,2018-06-15,HNWE  USDC.UGL,224.14,1/2M,,
116,HNWE  USDC.UGLPM,2018-01-06,2018-06-30,HNWE  USDC.UGL,220.84,PM,,
117,HROTT  USDC.UGLPW,2018-01-06,2018-07-06,HROTT  USDC.UGL,225.75,PW,,
118,HROTT  USDC.UGLPM,2018-01-06,2018-06-30,HROTT  USDC.UGL,221.07,PM,,
119,ISRAELI GOVT USDC.USGPM,2018-01-06,2018-06-30,ISRAELI GOVT USDC.USG,233.33,PM,,
120,LukOIL FOB MED1/2M,2018-01-06,2018-06-15,LukOIL FOB MED,723.5,1/2M,,
121,MOPAGPW,2018-01-06,2018-07-06,MOPAG,215.21,PW,,
122,MOPAGPM,2018-01-06,2018-06-30,MOPAG,210.16,PM,,
123,MOPAGPM,2018-01-06,2018-06-30,MOPAG,198.82,PM,,
124,ARAB GULF FOB HIGH PRIORPW,2018-05-06,2018-11-06,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
125,EGPCPW,2018-05-06,2018-11-06,EGPC,255,PW,,
126,FOB MED  USDC.UGLPW,2018-05-06,2018-11-06,FOB MED  USDC.UGL,214.78,PW,,
127,HNWE  USDC.UGLPW,2018-05-06,2018-11-06,HNWE  USDC.UGL,219.4,PW,,
128,HROTT  USDC.UGLPW,2018-05-06,2018-11-06,HROTT  USDC.UGL,218.31,PW,,
129,MOPAGPW,2018-05-06,2018-11-06,MOPAG,215.21,PW,,
130,ARAB GULF FOB HIGH PRIORPW,2018-12-06,2018-06-18,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
131,EGPCPW,2018-12-06,2018-06-18,EGPC,255,PW,,
132,FOB MED  USDC.UGLPW,2018-12-06,2018-06-18,FOB MED  USDC.UGL,209.74,PW,,
133,HNWE  USDC.UGLPW,2018-12-06,2018-06-18,HNWE  USDC.UGL,214.3,PW,,
134,HROTT  USDC.UGLPW,2018-12-06,2018-06-18,HROTT  USDC.UGL,213.32,PW,,
135,MOPAGPW,2018-12-06,2018-06-18,MOPAG,204.57,PW,,
136,CIF MED USDC.UGL1/2M,2018-06-16,2018-06-30,CIF MED USDC.UGL,213.88,1/2M,,
137,EGPC1/2M,2018-06-16,2018-06-30,EGPC,294.23,1/2M,,
138,EGPC1/2M,2018-06-16,2018-06-30,EGPC,658.88,1/2M,,
139,FOB MED  USDC.UGL1/2M,2018-06-16,2018-06-30,FOB MED  USDC.UGL,210.36,1/2M,,
140,FOB MED  USDC.UGL1/2M,2018-06-16,2018-06-30,FOB MED  USDC.UGL,199.53,1/2M,,
141,HNWE  USDC.UGL1/2M,2018-06-16,2018-06-30,HNWE  USDC.UGL,214.2,1/2M,,
142,HNWE  USDC.UGL1/2M,2018-06-16,2018-06-30,HNWE  USDC.UGL,204.66,1/2M,,
143,LukOIL FOB MED1/2M,2018-06-16,2018-06-30,LukOIL FOB MED,694.65,1/2M,,
144,ARAB GULF FOB HIGH PRIORPW,2018-06-19,2018-06-25,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
145,EGPCPW,2018-06-19,2018-06-25,EGPC,250,PW,,
146,FOB MED  USDC.UGLPW,2018-06-19,2018-06-25,FOB MED  USDC.UGL,209.24,PW,,
147,HNWE  USDC.UGLPW,2018-06-19,2018-06-25,HNWE  USDC.UGL,213.71,PW,,
148,HROTT  USDC.UGLPW,2018-06-19,2018-06-25,HROTT  USDC.UGL,213.56,PW,,
149,MOPAGPW,2018-06-19,2018-06-25,MOPAG,205.1,PW,,
150,ARAB GULF FOB HIGH PRIORPW,2018-06-26,2018-02-07,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
151,EGPCPW,2018-06-26,2018-02-07,EGPC,247,PW,,
152,FOB MED  USDC.UGLPW,2018-06-26,2018-02-07,FOB MED  USDC.UGL,204.87,PW,,
153,HNWE  USDC.UGLPW,2018-06-26,2018-02-07,HNWE  USDC.UGL,209.3,PW,,
154,HROTT  USDC.UGLPW,2018-06-26,2018-02-07,HROTT  USDC.UGL,209.18,PW,,
155,MOPAGPW,2018-06-26,2018-02-07,MOPAG,198.62,PW,,
156,ARAB GULF FOB HIGH PRIORPM,2018-01-07,2018-07-31,ARAB GULF FOB HIGH PRIOR,198.77,PM,,
157,CIF MED USDC.UGL1/2M,2018-01-07,2018-07-15,CIF MED USDC.UGL,211.01,1/2M,,
158,EGPC1/2M,2018-01-07,2018-07-15,EGPC,290.23,1/2M,,
159,EGPC1/2M,2018-01-07,2018-07-15,EGPC,294.23,1/2M,,
160,FOB MED  USDC.UGL1/2M,2018-01-07,2018-07-15,FOB MED  USDC.UGL,206.7,1/2M,,
161,FOB MED  USDC.UGLPM,2018-01-07,2018-07-31,FOB MED  USDC.UGL,208.45,PM,,
162,HNWE  USDC.UGL1/2M,2018-01-07,2018-07-15,HNWE  USDC.UGL,211.33,1/2M,,
163,HNWE  USDC.UGLPM,2018-01-07,2018-07-31,HNWE  USDC.UGL,212.91,PM,,
164,HROTT  USDC.UGLPM,2018-01-07,2018-07-31,HROTT  USDC.UGL,212.54,PM,,
165,ISRAELI GOVT USDC.USGPM,2018-01-07,2018-07-31,ISRAELI GOVT USDC.USG,219.54,PM,,
166,LukOIL FOB MED1/2M,2018-01-07,2018-07-15,LukOIL FOB MED,682.57,1/2M,,
167,MOPAGPM,2018-01-07,2018-07-31,MOPAG,202.85,PM,,
168,ARAB GULF FOB HIGH PRIORPW,2018-03-07,2018-09-07,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
169,EGPCPW,2018-03-07,2018-09-07,EGPC,247,PW,,
170,FOB MED  USDC.UGLPW,2018-03-07,2018-09-07,FOB MED  USDC.UGL,209.17,PW,,
171,HNWE  USDC.UGLPW,2018-03-07,2018-09-07,HNWE  USDC.UGL,213.5,PW,,
172,HROTT  USDC.UGLPW,2018-03-07,2018-09-07,HROTT  USDC.UGL,213.47,PW,,
173,MOPAGPW,2018-03-07,2018-09-07,MOPAG,198.62,PW,,
174,ARAB GULF FOB HIGH PRIORPW,2018-10-07,2018-07-16,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
175,EGPCPW,2018-10-07,2018-07-16,EGPC,247,PW,,
176,FOB MED  USDC.UGLPW,2018-10-07,2018-07-16,FOB MED  USDC.UGL,211.79,PW,,
177,HNWE  USDC.UGLPW,2018-10-07,2018-07-16,HNWE  USDC.UGL,216.1,PW,,
178,HROTT  USDC.UGLPW,2018-10-07,2018-07-16,HROTT  USDC.UGL,214.68,PW,,
179,MOPAGPW,2018-10-07,2018-07-16,MOPAG,198.62,PW,,
180,CIF MED USDC.UGL1/2M,2018-07-16,2018-07-31,CIF MED USDC.UGL,215.12,1/2M,,
181,EGPC1/2M,2018-07-16,2018-07-31,EGPC,294.23,1/2M,,
182,FOB MED  USDC.UGL1/2M,2018-07-16,2018-07-31,FOB MED  USDC.UGL,211.08,1/2M,,
183,HNWE  USDC.UGL1/2M,2018-07-16,2018-07-31,HNWE  USDC.UGL,215.43,1/2M,,
184,LukOIL FOB MED1/2M,2018-07-16,2018-07-30,LukOIL FOB MED,697.02,1/2M,,
185,LukOIL FOB MED1/2M,2018-07-16,2018-07-31,LukOIL FOB MED,697.02,1/2M,,
186,ARAB GULF FOB HIGH PRIORPW,2018-07-17,2018-07-23,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
187,EGPCPW,2018-07-17,2018-07-23,EGPC,250,PW,,
188,FOB MED  USDC.UGLPW,2018-07-17,2018-07-23,FOB MED  USDC.UGL,210.59,PW,,
189,HNWE  USDC.UGLPW,2018-07-17,2018-07-23,HNWE  USDC.UGL,214.91,PW,,
190,HROTT  USDC.UGLPW,2018-07-17,2018-07-23,HROTT  USDC.UGL,213.57,PW,,
191,MOPAGPW,2018-07-17,2018-07-23,MOPAG,198.62,PW,,
192,ARAB GULF FOB HIGH PRIORPW,2018-07-31,2018-06-08,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
193,EGPCPW,2018-07-31,2018-06-08,EGPC,245,PW,,
194,FOB MED  USDC.UGLPW,2018-07-31,2018-06-08,FOB MED  USDC.UGL,209.89,PW,,
195,HNWE  USDC.UGLPW,2018-07-31,2018-06-08,HNWE  USDC.UGL,214.06,PW,,
196,HROTT  USDC.UGLPW,2018-07-31,2018-06-08,HROTT  USDC.UGL,212.32,PW,,
197,MOPAGPW,2018-07-31,2018-06-08,MOPAG,198.14,PW,,
198,ARAB GULF FOB HIGH PRIORPW,2018-01-08,2018-07-08,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
199,ARAB GULF FOB HIGH PRIORPM,2018-01-08,2018-08-30,ARAB GULF FOB HIGH PRIOR,198.77,PM,,
200,ARAB GULF FOB HIGH PRIORPM,2018-01-08,2018-08-31,ARAB GULF FOB HIGH PRIOR,198.77,PM,,
201,CIF MED USDC.UGL1/2M,2018-01-08,2018-08-15,CIF MED USDC.UGL,210.69,1/2M,,
202,EGPCPW,2018-01-08,2018-07-08,EGPC,245,PW,,
203,EGPC1/2M,2018-01-08,2018-08-15,EGPC,291.23,1/2M,,
204,EGPC1/2M,2018-01-08,2018-08-15,EGPC,294.23,1/2M,,
205,FOB MED  USDC.UGLPW,2018-01-08,2018-07-08,FOB MED  USDC.UGL,209.89,PW,,
206,FOB MED  USDC.UGL1/2M,2018-01-08,2018-08-15,FOB MED  USDC.UGL,207.2,1/2M,,
207,FOB MED  USDC.UGLPM,2018-01-08,2018-08-30,FOB MED  USDC.UGL,208.86,PM,,
208,FOB MED  USDC.UGLPM,2018-01-08,2018-08-31,FOB MED  USDC.UGL,208.86,PM,,
209,HNWE  USDC.UGLPW,2018-01-08,2018-07-08,HNWE  USDC.UGL,214.06,PW,,
210,HNWE  USDC.UGL1/2M,2018-01-08,2018-08-15,HNWE  USDC.UGL,211.01,1/2M,,
211,HNWE  USDC.UGLPM,2018-01-08,2018-08-30,HNWE  USDC.UGL,213.09,PM,,
212,HNWE  USDC.UGLPM,2018-01-08,2018-08-31,HNWE  USDC.UGL,213.09,PM,,
213,HROTT  USDC.UGLPW,2018-01-08,2018-07-08,HROTT  USDC.UGL,212.32,PW,,
214,HROTT  USDC.UGLPM,2018-01-08,2018-08-30,HROTT  USDC.UGL,211.67,PM,,
215,HROTT  USDC.UGLPM,2018-01-08,2018-08-31,HROTT  USDC.UGL,211.67,PM,,
216,ISRAELI GOVT USDC.USGPM,2018-01-08,2018-08-30,ISRAELI GOVT USDC.USG,223.92,PM,,
217,ISRAELI GOVT USDC.USGPM,2018-01-08,2018-08-31,ISRAELI GOVT USDC.USG,223.92,PM,,
218,LukOIL FOB MED1/2M,2018-01-08,2018-08-15,LukOIL FOB MED,684.22,1/2M,,
219,MOPAGPW,2018-01-08,2018-07-08,MOPAG,203.56,PW,,
220,MOPAGPM,2018-01-08,2018-08-30,MOPAG,203.85,PM,,
221,MOPAGPM,2018-01-08,2018-08-31,MOPAG,203.85,PM,,
222,ARAB GULF FOB HIGH PRIORPW,2018-08-13,2018-08-19,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
223,EGPCPW,2018-08-13,2018-08-19,EGPC,247,PW,,
224,FOB MED  USDC.UGLPW,2018-08-13,2018-08-19,FOB MED  USDC.UGL,206.59,PW,,
225,HNWE  USDC.UGLPW,2018-08-13,2018-08-19,HNWE  USDC.UGL,210.62,PW,,
226,HROTT  USDC.UGLPW,2018-08-13,2018-08-19,HROTT  USDC.UGL,209.67,PW,,
227,MOPAGPW,2018-08-13,2018-08-19,MOPAG,203.62,PW,,
228,ARAB GULF FOB HIGH PRIORPM,2018-08-14,2019-08-20,ARAB GULF FOB HIGH PRIOR,198.77,PM,,
229,EGPCPM,2018-08-14,2019-08-20,EGPC,247,PW,,
230,FOB MED  USDC.UGLPM,2018-08-14,2019-08-20,FOB MED  USDC.UGL,206.59,PM,,
231,HNWE  USDC.UGLPM,2018-08-14,2019-08-20,HNWE  USDC.UGL,210.62,PM,,
232,HROTT  USDC.UGLPM,2018-08-14,2019-08-20,HROTT  USDC.UGL,209.67,PM,,
233,MOPAGPM,2018-08-14,2019-08-20,MOPAG,203.62,PM,,
234,CIF MED USDC.UGL1/2M,2018-08-16,2018-08-31,CIF MED USDC.UGL,208.98,1/2M,,
235,EGPC1/2M,2018-08-16,2018-08-31,EGPC,291.23,1/2M,,
236,FOB MED  USDC.UGL1/2M,2018-08-16,2018-08-31,FOB MED  USDC.UGL,205.5,1/2M,,
237,HNWE  USDC.UGL1/2M,2018-08-16,2018-08-31,HNWE  USDC.UGL,209.26,1/2M,,
238,LukOIL FOB MED1/2M,2018-08-16,2018-08-31,LukOIL FOB MED,678.58,1/2M,,
239,ARAB GULF FOB HIGH PRIORPW,2018-08-28,2018-03-09,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
240,EGPCPW,2018-08-28,2018-03-09,EGPC,245,PW,,
241,FOB MED  USDC.UGLPW,2018-08-28,2018-03-09,FOB MED  USDC.UGL,207.05,PW,,
242,HNWE  USDC.UGLPW,2018-08-28,2018-03-09,HNWE  USDC.UGL,211.06,PW,,
243,HROTT  USDC.UGLPW,2018-08-28,2018-03-09,HROTT  USDC.UGL,210.05,PW,,
244,MOPAGPW,2018-08-28,2018-03-09,MOPAG,203.64,PW,,
245,ARAB GULF FOB HIGH PRIORPM,2018-01-09,2018-09-30,ARAB GULF FOB HIGH PRIOR,198.77,PM,,
246,CIF MED USDC.UGL1/2M,2018-01-09,2018-09-15,CIF MED USDC.UGL,212.78,1/2M,,
247,EGPC1/2M,2018-01-09,2018-09-15,EGPC,286.23,1/2M,,
248,FOB MED  USDC.UGL1/2M,2018-01-09,2018-09-15,FOB MED  USDC.UGL,209.05,1/2M,,
249,FOB MED  USDC.UGLPM,2018-01-09,2018-09-30,FOB MED  USDC.UGL,207.27,PM,,
250,HNWE  USDC.UGL1/2M,2018-01-09,2018-09-15,HNWE  USDC.UGL,213.19,1/2M,,
251,HNWE  USDC.UGLPM,2018-01-09,2018-09-30,HNWE  USDC.UGL,211.27,PM,,
252,HROTT  USDC.UGLPM,2018-01-09,2018-09-30,HROTT  USDC.UGL,210.17,PM,,
253,ISRAELI GOVT USDC.USGPM,2018-01-09,2018-09-30,ISRAELI GOVT USDC.USG,225.56,PM,,
254,LukOIL FOB MED1/2M,2018-01-09,2018-09-15,LukOIL FOB MED,690.33,1/2M,,
255,MOPAGPM,2018-01-09,2018-09-30,MOPAG,204.16,PM,,
256,ARAB GULF FOB HIGH PRIORPW,2018-04-09,2018-10-09,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
257,EGPCPW,2018-04-09,2018-10-09,EGPC,242,PW,,
258,FOB MED  USDC.UGLPW,2018-04-09,2018-10-09,FOB MED  USDC.UGL,215.3,PW,,
259,HNWE  USDC.UGLPW,2018-04-09,2018-10-09,HNWE  USDC.UGL,219.16,PW,,
260,HROTT  USDC.UGLPW,2018-04-09,2018-10-09,HROTT  USDC.UGL,218.1,PW,,
261,MOPAGPW,2018-04-09,2018-10-09,MOPAG,209.8,PW,,
262,CIF MED USDC.UGL1/2M,2018-09-16,2018-09-30,CIF MED USDC.UGL,218.72,1/2M,,
263,EGPC1/2M,2018-09-16,2018-09-30,EGPC,296.23,1/2M,,
264,FOB MED  USDC.UGL1/2M,2018-09-16,2018-09-30,FOB MED  USDC.UGL,215.05,1/2M,,
265,HNWE  USDC.UGL1/2M,2018-09-16,2018-09-30,HNWE  USDC.UGL,219.03,1/2M,,
266,LukOIL FOB MED1/2M,2018-09-16,2018-09-30,LukOIL FOB MED,710.13,1/2M,,
267,ARAB GULF FOB HIGH PRIORPW,2018-09-18,2018-09-24,ARAB GULF FOB HIGH PRIOR,198.77,PW,,
268,EGPCPW,2018-09-18,2018-09-24,EGPC,252,PW,,
269,FOB MED  USDC.UGLPW,2018-09-18,2018-09-24,FOB MED  USDC.UGL,215.5,PW,,
